"binary", "filename", "configuration", "rate", "time"
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 964.1459977209322, 2.124159624
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1627.577950358472, 1.258311468
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 814.3866488250299, 2.514776001
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 2122.0602287817587, 0.965099846
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 465.92039808238815, 4.39560064
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 2224.042679344266, 0.920845638
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 430.61565262834125, 4.75598132
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1519.6746643080407, 1.347656869
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 238.28085682167915, 8.594899428
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 4301.769861546613, 0.476083116
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 5257.571873247367, 0.389533429
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 5253.576800157651, 0.389829649
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 196.095524583559, 10.44388955
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 5894.457148659335, 0.347445057
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 4675.355098812831, 0.438041594
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5985.263667128205, 0.342173731
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4875.4008237703865, 0.420068026
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 3364.7196894167887, 0.608668831
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 547.3146360810181, 3.7419061449999997
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1903.4561200549924, 1.075937595
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 638.314332728042, 3.208450594
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1063.4085219738488, 1.925882629
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 317.54025277501256, 6.449576021
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1259.8791155462334, 1.6255527810000001
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 346.1089246629943, 5.91721234
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 844.5505798379328, 2.424958373
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 196.51469680282617, 10.421612395
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 3421.8454819357416, 0.598507446
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 3132.319449960055, 0.653828587
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 2874.7275067483138, 0.712415349
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 159.15902551891827, 12.867633446
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 5882.179192524081, 0.348170284
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 4243.305255664239, 0.482642628
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 3563.2981446390254, 0.574748426
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 5023.119767171727, 0.407714746
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 3217.816729449288, 0.636456384
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 563.4125675612825, 3.634991688
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1791.7344026987496, 1.143026554
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 793.4560327388515, 2.5811134019999997
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1252.471026568784, 1.635167566
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 345.00139587935377, 5.936207866
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1316.1441226398517, 1.55606059
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 408.45599897051056, 5.014003969
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1101.4181503541347, 1.859420965
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 175.64268020751985, 11.660036146
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 5499.114670731716, 0.372423585
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 3935.391728575602, 0.520405627
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 2400.30987156583, 0.853223171
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 190.3945226298209, 10.756611964
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 6182.759434487871, 0.331243682
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 3699.5273176448027, 0.553584235
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 6278.900590627788, 0.326171751
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4177.043235116233, 0.490298971
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2559.397511427316, 0.800188322
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 704.0962766726736, 2.908693126
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 2048.8005462766514, 0.999609261
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 652.4761799337423, 3.138811903
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1030.9491643900292, 1.9865189
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 339.4831111108991, 6.032700694
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1070.8420588856686, 1.912513599
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 322.6666097811315, 6.347108557
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1300.4506578407756, 1.574838682
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 215.932215268354, 9.484457877
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 4908.042032970443, 0.41727434
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 5407.844616231647, 0.378709106
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 4955.215365987356, 0.413301915
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 189.1145754006123, 10.829413839
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 4766.506155968302, 0.429664818
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 5343.918299505078, 0.383239392
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 4437.06350293004, 0.461566529
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 5288.127226887697, 0.387282664
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2560.120536875177, 0.799962334
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 707.0665705192389, 2.8964740879999997
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1391.6793808379293, 1.471603322
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 866.966323868295, 2.362260152
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1249.0724683955498, 1.639616637
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 403.66683868438867, 5.073490819
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1461.9353988536031, 1.4008826939999999
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 409.6967003844344, 4.998819854
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1145.578295329467, 1.787743368
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 115.72367487465075, 17.697329455
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 1832.9163272676328, 1.117345058
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 1657.0705693811474, 1.235915982
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 1306.7020946952666, 1.567304444
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 168.88758826094227, 12.126409176
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 6335.755400639049, 0.323244802
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 3953.6310276700547, 0.518004838
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5792.721212164702, 0.353547137
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4557.194611468953, 0.449399285
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2705.757245397283, 0.756904561
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 828.0087967557535, 2.473403674
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1705.490387104197, 1.200827642
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 795.0797792290176, 2.57584214
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1307.2087844981797, 1.566696938
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 433.4832098285836, 4.724519782
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1371.8858699849613, 1.492835552
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 418.0807542190525, 4.898575166
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1305.9240592929236, 1.568238203
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 212.3961612681428, 9.642358825
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 5903.179860245791, 0.346931662
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 3837.4410863555877, 0.533688975
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 3390.183841541894, 0.604097033
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 190.41244725304887, 10.755599382
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 5188.002455536279, 0.394756945
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 4401.400202316549, 0.465306472
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5515.216944047699, 0.371336254
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4375.312082807156, 0.468080896
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2653.6986838911407, 0.77175303
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 816.4177160231799, 2.508519793
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1759.8292275466256, 1.163749282
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 850.083339339745, 2.409175554
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1325.2316641484028, 1.54539018
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 429.25192527757036, 4.771091006
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1359.1562057773592, 1.506817238
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 404.6945379746227, 5.060606971
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1314.5621703413217, 1.557933163
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 209.09986336838065, 9.794363167
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 3315.676374456572, 0.617671862
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 3772.0695723458853, 0.542938024
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 2768.1653154598016, 0.739840207
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 177.75682049552583, 11.521358192
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 6514.608121223726, 0.314370406
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 3896.1038615149055, 0.525653338
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5703.384166489893, 0.359085052
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4360.658758416119, 0.46965381
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2417.9141892761763, 0.847011035
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 740.2297343027994, 2.766708638
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1704.780520229492, 1.201327664
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 803.3332496279439, 2.549377859
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1253.77897277661, 1.633461754
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 418.8408122985134, 4.889685866
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1426.0022879023015, 1.436182829
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 432.83796825018237, 4.731562733
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1425.533093117689, 1.436655529
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 146.3998551837795, 13.989084876
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 3443.266897790689, 0.594783983
